     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
0    1994               English  0.000624         0.000124  0.000175         0.000146  0.000177  0.000134
1    1995               English  0.000609         0.000125  0.000176         0.000146  0.000177  0.000135
2    1995                 Latin  0.000651         0.000122  0.000178         0.000145  0.000176  0.000132
3    1995               Spanish  0.000589         0.000128  0.000175         0.000148  0.000179  0.000142
4    1996               English  0.000643         0.000126  0.000181         0.000160  0.000182  0.000136
5    1996                German  0.000660         0.000122  0.000174         0.000146  0.000176  0.000139
6    1997               English  0.000602         0.000125  0.000175         0.000146  0.000177  0.000135
7    1997                French  0.000604         0.000125  0.000175         0.000146  0.000176  0.000135
8    1997               Italian  0.000616         0.000124  0.000175         0.000146  0.000175  0.000136
9    1997                 Latin  0.000607         0.000124  0.000173         0.000146  0.000175  0.000136
10   1998               English  0.000612         0.000125  0.000176         0.000147  0.000177  0.000135
11   1998                French  0.000605         0.000125  0.000175         0.000145  0.000177  0.000134
12   1999               English  0.000746         0.000125  0.000183         0.000149  0.000185  0.000136
13   1999                French  0.000627         0.000122  0.000173         0.000145  0.000175  0.000133
14   1999              Japanese  0.000602         0.000126  0.000178         0.000145  0.000176  0.000135
15   1999               Spanish  0.000614         0.000123  0.000174         0.000146  0.000175  0.000134
16   2000                Danish  0.000646         0.000119  0.000175         0.000143  0.000175  0.000128
17   2000               English  0.000616         0.000124  0.000175         0.000146  0.000177  0.000134
18   2000                French  0.000594         0.000127  0.000175         0.000147  0.000178  0.000137
19   2000                German  0.000632         0.000123  0.000173         0.000146  0.000176  0.000135
20   2000               Swedish  0.000647         0.000120  0.000172         0.000145  0.000175  0.000131
21   2001             Bulgarian  0.000592         0.000125  0.000179         0.000144  0.000174  0.000134
22   2001                 Dutch  0.000595         0.000126  0.000176         0.000146  0.000176  0.000134
23   2001               English  0.000832         0.000126  0.000205         0.000154  0.000215  0.000136
24   2001                French  0.000580         0.000128  0.000177         0.000147  0.000178  0.000139
25   2001                German  0.000669         0.000119  0.000175         0.000144  0.000176  0.000131
26   2001              Japanese  0.000613         0.000128  0.000181         0.000147  0.000177  0.000141
27   2001            Portuguese  0.000614         0.000125  0.000175         0.000146  0.000175  0.000138
28   2001                 Welsh  0.000971         0.000110  0.000215         0.000140  0.000178  0.000116
29   2002             Bulgarian  0.000650         0.000120  0.000179         0.000142  0.000173  0.000133
30   2002               English  0.000618         0.000125  0.000176         0.000147  0.000178  0.000136
31   2002                French  0.000620         0.000123  0.000174         0.000145  0.000176  0.000135
32   2002                German  0.000604         0.000124  0.000175         0.000145  0.000176  0.000134
33   2002            Portuguese  0.000590         0.000127  0.000175         0.000147  0.000177  0.000138
34   2002                 Welsh  0.000617         0.000124  0.000175         0.000145  0.000176  0.000136
